aerobic capacity,NCT01125436
metabolic acidosis,"NCT01293266,NCT01452412,NCT01640119"
violence,"NCT01028118,NCT01367704,NCT01459458,NCT01497405,NCT01811719"
vocal cord paralysis,NCT01824849
diabetes mellitus 1 or 2,NCT01079637
youth drinking,NCT01213108
neurological development,NCT01180933
mild chronic obstructive pulmonary disease,NCT01360788
drug use disorder,NCT01442753
human t cell leukemia virus type 1 infection,NCT01620736
biomarker change linked to breast cancer,NCT01769625
healthy participants,"NCT01250275,NCT01619527,NCT01656018,NCT01719614"
infection control,NCT01245829
adherence to care,NCT01587105
transplantation kidney,NCT01496729
erythropoietin,NCT01131533
abscess incision and drainage,NCT01211158
recurrent nasopharyngeal carcinoma,NCT01392235
parentalpatient satisfaction,NCT01298791
recurrent adult grade iii lymphomatoid granulomatosis,"NCT01805037,NCT00003196,NCT00005803,NCT00014235,NCT00040846,NCT01273766,NCT00098891,NCT01408043,NCT01434472,NCT01652014,NCT01658319,NCT01727102,NCT01729806,NCT01760655,NCT01815749,NCT00089076"
erythrocytosis,NCT01187108
arterial catheterization,NCT01494311
postinfection inflammation,NCT01407484
the association between progesterone levels and smoking related symptomatology and nicotine cravings,NCT01811225
endoxan,NCT01352338
bmi greater than or equal to 30,NCT01312467
spina bifida,"NCT01096459,NCT01133288,NCT01263392,NCT01302314"
intestinal infection due to e coli,NCT01561248
incidence of disease progression,NCT01196715
combined immune deficiencies,NCT01652092
psychosocial,"NCT01184547,NCT01427829"
periodontal disease,"NCT01113528,NCT01154855,NCT01198509,NCT01489839,NCT01521260,NCT01591616,NCT01595594,NCT01599091,NCT01639183,NCT01785355"
telemedicine,"NCT01103427,NCT01155856,NCT01324687,NCT01820234,NCT01821014"
acute promyelocytic leukemia,NCT01404949
unstable angina,"NCT01167582,NCT01293097,NCT01352169,NCT01356992,NCT01543373,NCT01539603,NCT01637012,NCT01688648,NCT01826552"
advanced non small cell lung cancer,"NCT00549328,NCT01101334,NCT01240447,NCT01646125,NCT01802632"
cushing syndrome related to cortisolic adenoma,NCT01688349
healthy female,NCT01253824
lymphocytic bronchiolitis post lung transplantation,NCT01109160
suspected acute coronary syndrome,NCT01604655
nasal obstruction,"NCT01457638,NCT01541839"
gallbladder polyps,NCT01383031
hiccup,NCT01277731
advanced stage cancer,NCT01706627
chronic blepharitis,NCT01647217
t cell,NCT00080535
acute st segment elevation myocardial infarction,"NCT01217307,NCT01319760,NCT01787110"
stargardt disease,NCT01367444
muscle disorders,NCT01270269
early detection of cancer,"NCT01335906,NCT01575990"
childhood cancer survivors,NCT01217996
fragile x syndrome,"NCT01329770,NCT01433354,NCT01474746,NCT01555333"
untreated childhood diffuse astrocytoma,NCT02020720
postoperative hypoxemia,NCT01362647
metastatic cancers,NCT01723306
vascular disease,"NCT01805973,NCT01808313,NCT00180479,NCT01096693,NCT01096706,NCT01178268,NCT01182428,NCT01234610,NCT01404767,NCT01804972,NCT01608035,NCT01743014,NCT01823185"
non transfusion dependent thalassemia,"NCT01709838,NCT01736540"
stage ivc midline lethal granuloma of the paranasal sinus and nasal cavity,NCT01637194
geriatric,NCT01449968
chronic myeloid leukaemia,NCT01804985
critical stenosis of aortic valve,NCT01589380
anaphylaxis,NCT01432522
irreducible 3 and 4 part proximal humeral fractures,"NCT01480440,NCT01480453"
carotid artery stenosis,"NCT00594100,NCT01550835"
duchenne muscular dystrophy,"NCT01981915,NCT01168908,NCT01183767,NCT01207908,NCT01359670,NCT01388764,NCT01396239,NCT01521546,NCT01540409,NCT01603407,NCT01648634"
newly diagnosed colon cancer,NCT01742143
post traumatic carpal tunnel syndrome,NCT01118715
stage iv adult diffuse small cleaved cell lymphoma,"NCT01805037,NCT00019708,NCT00025415,NCT00040846,NCT00060112,NCT00096161,NCT01273766,NCT00098891,NCT00003970"
herpesvirus 2 human,NCT01037621
subarachnoid hemorrhage aneurysmal,NCT01565590
lower urinary tract obstructive syndrome,NCT01552824
underdosing of skeletal muscle relaxants for laparotomy,NCT01539044
lipohypertrophy,NCT01420523
patellofemoral pain syndrome,"NCT00445224,NCT01332110,NCT01434966,NCT01438762,NCT01637480,NCT01696162,NCT01771952,NCT01811654"
phosphate binding capacity,NCT01560884
multiple sclerosis,"NCT01451723,NCT01802489,NCT01803867,NCT00094172,NCT00110396,NCT01834586,NCT00185211,NCT00370071,NCT00483652,NCT00489489,NCT00537082,NCT00735007,NCT00958009,NCT01036165,NCT01073813,NCT01081275,NCT01089686,NCT01097538,NCT01167426,NCT01171209,NCT01201707,NCT01216137,NCT01219647,NCT01220830,NCT01226654,NCT01279655,NCT01299025,NCT01302431,NCT01328379,NCT01337986,NCT01339234,NCT01356940,NCT01371760,NCT01381354,NCT01395316,NCT01411514,NCT01419301,NCT01424423,NCT01428505,NCT01440062,NCT01444300,NCT01448252,NCT01450072,NCT01450488,NCT01451593,NCT01455220,NCT01454791,NCT01457924,NCT01464749,NCT01465087,NCT01487096,NCT01492023,NCT01497262,NCT01512329,NCT01874340,NCT01517282,NCT01526993,NCT01532037,NCT01535664,NCT01538225,NCT01539395,NCT01555684,NCT01572207,NCT01572714,NCT01576354,NCT01578330,NCT01582126,NCT01606137,NCT01606215,NCT01610687,NCT01610700,NCT01610713,NCT01611987,NCT01615887,NCT01627938,NCT01641120,NCT01656148,NCT01679041,NCT01684761,NCT01695434,NCT01699555,NCT01712945,NCT01728922,NCT01743651,NCT01752660,NCT01763983,NCT01767493,NCT01768910,NCT01780792,NCT01796860,NCT01817166,NCT01824550,NCT00190268"
needle phobia,NCT01623583
keratoconjunctivitis due to adenovirus,NCT01533480
musculoskeletal pain,"NCT01356784,NCT01528332"
hyperlipoproteinemia type v,NCT00473655
metastatic squamous neck cancer with occult primary squamous cell carcinoma,"NCT01806675,NCT01824823,NCT00088907,NCT00101348,NCT01316757,NCT01334177,NCT01696955,NCT01816984"
severe hemophilia a with inhibitor,NCT01505946
stunting,"NCT01333995,NCT01562379"
amyloidosis,"NCT01677286,NCT00298766,NCT00621400,NCT01383759,NCT01406314,NCT01777243,NCT01789242"
b cell chronic lymphocytic leukemia,"NCT00005799,NCT00006226,NCT00086580,NCT00098488,NCT01105247,NCT01109069,NCT01212380,NCT01217749,NCT00098670,NCT01576588,NCT00003620,NCT01729806,NCT00089076"
endocrine disease,NCT01735617
cisplatin adverse reaction,NCT01829178
migraine headache,"NCT01509326,NCT00843024,NCT00897104,NCT00897949,NCT00898677,NCT00899379,NCT01294046,NCT01389193,NCT01476930,NCT01481103,NCT01630044"
caregivers of persons with dementia,NCT01550172
distal radial fractures treated with a dvr a locking plate,NCT01122628
malignant lymphoma stem cell type,NCT01403896
gout acute,NCT01310673
analgetic consumption,NCT01228162
bladder transitional cell carcinoma stage iv,NCT01599013
cardiac surgical telemetry patients,NCT01411553
dyslipidemias,"NCT01462877,NCT00770653,NCT01308203,NCT01418716,NCT01428791,NCT01720719"
dry eyes,NCT01682460
cmv infection,NCT01633476
relapsed osteosarcoma,NCT01804374
tissue donors,"NCT01214018,NCT01742234"
embryofetus death,NCT01760278
allergy,"NCT00078195,NCT01522703,NCT00633919,NCT01144910,NCT01239719,NCT01322282,NCT01353924,NCT01407640,NCT01542970,NCT01596712,NCT01727115,NCT01728519,NCT01816542"
gastroesophageal varice,NCT01592578
early lumbar disc degeneration,"NCT01158924,NCT01182337"
total rupture of the anterior cruciate ligament in the knee,NCT01762358
solid tumor or haematological,NCT01788618
psychotic disorders,"NCT00125138,NCT00216476,NCT01321177,NCT01804582,NCT01512290,NCT01597141,NCT01610011,NCT01739127,NCT01752465"
thermal injury,"NCT01664806,NCT01707095"
contamination of the handles,NCT01632085
redox status,NCT01492114
children,"NCT01167855,NCT01235143,NCT01239238,NCT01241890,NCT01310088,NCT01323010,NCT01802086,NCT01348295,NCT01382004,NCT01413594,NCT01449656,NCT01515254,NCT01538706,NCT01574352,NCT01618929,NCT01652287,NCT01711203,NCT01738308"
patients who have received allo hsct,NCT01252017
invasive epithelial ovarian cancer,NCT01308944
philadelphia chromosome positive adult precursor acute lymphoblastic leukemia,NCT01769209
cerebral angiogenesis,NCT01819597
diuretic resistant refractory ascites,NCT01777971
her2 overexpressing,NCT01320280
advanced epithelial ovarian,NCT01974765
right ventricular dysfunction,NCT01571037
chronic venous insufficiency,"NCT01321619,NCT01372020,NCT01432795,NCT01477281,NCT01654016"
bk nephropathy,NCT01649609
brain necrosis,NCT01621880
relapse to smoking,NCT01784016
pelvic girdle pain,NCT01098136
arthritis of the hip,NCT01693627
stage i ivb colon cancer,NCT01590147
a fumigatus,NCT01222273
embolism pulmonary,NCT00981409
indolent non hodgkin lymphoma,NCT01830478
adult soft tissue sarcoma,NCT01433068
paod,NCT01341340
fall,NCT01452243
primary prevention of prostate cancer,NCT01538316
living renal donor,NCT01280851
lymphoblastic lymphoma,"NCT01100658,NCT01163201,NCT01184885,NCT01451515,NCT01574274,NCT01614197"
stage ii esophageal cancer,NCT01307956
hydronephrosis,"NCT00576823,NCT01323842,NCT01739738"
mothers,NCT01825109
respiratory tract infections,"NCT00939185,NCT01107223,NCT01244867,NCT01419262,NCT01426191,NCT01432080,NCT01587131,NCT01601093,NCT01760109,NCT01787058"
recurrent epithelial ovarian,NCT01974765
swallowing disorder,NCT01268423
uncomplicated p falciparum malaria,NCT01707199
mild to moderate temporal atrophy,NCT01354743
post operative voiding,NCT01343784
coronary artery bypass grafting surgery,NCT01121341
tubular ductal breast carcinoma,NCT01417286
traumatic stress,NCT01825694
night vision complaints,NCT01703559
glioma,"NCT00047879,NCT01081223,NCT01116661,NCT01158651,NCT01212731,NCT01331135,NCT01351519,NCT01394692,NCT01450826,NCT01478178,NCT01479686,NCT01502605,NCT01567202,NCT01598454,NCT01661400,NCT01743950,NCT01792310,NCT01798771,NCT01801371"
invasive ductal breast carcinoma,"NCT01417286,NCT01754519,NCT01791478,NCT01819233"
hereditary diseases,NCT01278277
primary percutaneous coronary intervention,"NCT01152138,NCT01158846"
recurrent fibrosis,NCT01603108
ocular surgery,NCT01230125
inflammatory rheumatic diseases,NCT01475409
anorexia nervosa dsm ivr criteria,NCT01772394
adrenoleukodystrophy,"NCT01586455,NCT00176904"
rocuronium onset,NCT01479751
acute myeloid leukaemia,NCT01422603
adult mixed cellularity hodgkin lymphoma,"NCT01476410,NCT01535924"
endometrial neoplasms,"NCT01178736,NCT01717391,NCT01810874"
rubella antibody seroconversion,NCT01700621
immune thrombocytopenia,"NCT01129024,NCT01763658"
skin and subcutaneous tissue bacterial infections,NCT01519492
notalgia paresthetica,NCT01098019
loss of physical function,NCT01372176
chronic conditions,NCT01122823
systemic lupus erythematosus sle,"NCT01632241,NCT01705977,NCT01753401"
recurrent adult primary liver cancer,"NCT00033462,NCT00052364,NCT00047346,NCT00031681,NCT01835223,NCT00077441,NCT01730937,NCT01825603"
untreated childhood glioblastoma,NCT02020720
esophageal dysplasia,NCT01760070
postprandial,NCT01684332
hypertrophic scarring,NCT01602458
arthroplasty replacement hip,"NCT00168818,NCT01098604,NCT01229293,NCT01474031,NCT01486576,NCT01536301"
locally advanced or metastatic braf mutant melanoma,NCT01777776
end stage renal disease,"NCT00379899,NCT01102816,NCT01103167,NCT01104909,NCT01138254,NCT01147666,NCT01175798,NCT01242904,NCT01254214,NCT01292863,NCT01325610,NCT01353638,NCT01382212,NCT01394341,NCT01395823,NCT01416896,NCT01435174,NCT01468259,NCT01471041,NCT01473914,NCT01496417,NCT01509937,NCT01537042,NCT01539252,NCT01554982,NCT01555515,NCT01562340,NCT01581996,NCT01582893,NCT01601873,NCT01612182,NCT01630889,NCT01644526,NCT01689272,NCT01693354,NCT01706354,NCT01731301,NCT01744418,NCT01770470,NCT01778283,NCT01815892"
malaria,"NCT02199951,NCT01024426,NCT01080989,NCT01086917,NCT01095055,NCT01115478,NCT01119612,NCT01142765,NCT01152931,NCT01154803,NCT01156389,NCT01160809,NCT01166815,NCT01190371,NCT01231880,NCT01290601,NCT01308112,NCT01328990,NCT01350752,NCT01351948,NCT01361269,NCT01364883,NCT01373879,NCT01374581,NCT01379430,NCT01392014,NCT01397227,NCT01397851,NCT01403350,NCT01425073,NCT01449045,NCT01450280,NCT01450293,NCT01456858,NCT01459146,NCT01464125,NCT01465048,NCT01500980,NCT01524341,NCT01540474,NCT01540903,NCT01575613,NCT01585077,NCT01603251,NCT01605786,NCT01614964,NCT01615822,NCT01624337,NCT01624961,NCT01627951,NCT01641289,NCT01645254,NCT01658696,NCT01658774,NCT01663831,NCT01666925,NCT01669941,NCT01697787,NCT01703884,NCT01713608,NCT01728701,NCT01743417,NCT01753323,NCT01755559,NCT01766830,NCT01771848,NCT01785979,NCT01810055,NCT01816113,NCT00197028"
purulent bacterial conjunctivitis,NCT01155999
persistent pulmonary hypertension of the newborn,NCT01360671
surgical blood loss,NCT01475669
hivtb co infection,NCT01805258
low output external gastrointestinal fistula,"NCT01828892,NCT01672593"
neural tube defects,NCT00468481
emotional stress,NCT01488422
inflammatory response,"NCT01377441,NCT01552096"
oral epithelial dysplasia,NCT01192204
gynecologic cancer,"NCT01375699,NCT01435200,NCT01709175"
meaning in work,NCT01643694
phthisis bulbi,NCT01312545
peri implant alveolar bone thickness,NCT01245920
sexual problem,NCT01272648
hepatocellular cancer,"NCT01807156,NCT01456156,NCT01522937,NCT01618253,NCT01631552,NCT01775501"
dysfunctional uterine bleeding,NCT01776203
toxicity,"NCT01091766,NCT01276938"
hypertriglyceridaemia,NCT01577056
lymphadenitis,NCT01383226
moderate mitral stenosis,NCT01406353
umbilical hernia,"NCT01201564,NCT01543789,NCT01622218"
africa,NCT01175161
upper respiratory infections,"NCT01586962,NCT01728090"
respiratory distress syndrome in premature infant,NCT01473264
hematologic disease,NCT00586521
epilation,NCT01348789
gastric subepitelial mass,NCT01105728
food allergies,NCT01577628
aggressive lymphoma,NCT01562977
postoperative pain control in surgical neonates,NCT01667120
food allergy,"NCT01164293,NCT01332084,NCT01618929,NCT01822353"
poliomyelitis seroconversion,NCT01559636
general anesthesia and combined regional anesthesia,NCT01235143
suicide ideation,"NCT01195740,NCT01209845"
parkinson s disease,"NCT01580787,NCT01650610,NCT01650623"
cognitive behavior therapy,"NCT01028118,NCT01387516"
integrated control of malaria and polyparasitism,NCT01283165
acromegaly,"NCT00447499,NCT01265121,NCT01278342,NCT01295060,NCT01412424,NCT01618513,NCT01794793,NCT01819883,NCT00182091"
in vitro fertilization,"NCT01183143,NCT01210144,NCT01220791,NCT01406028,NCT01507376,NCT01614067"
omenns syndrome,NCT01652092
subclinical hypothyroidism,NCT01660126
atherosclerotic cardiovascular disease,NCT01330602
stage iv adult t cell leukemialymphoma,"NCT01805037,NCT00025415,NCT00060112,NCT01273766,NCT00098891,NCT00003970"
stable angina,"NCT00474123,NCT01162902,NCT01236807,NCT01270139,NCT01293097,NCT01328470,NCT01543373,NCT01539603,NCT01637012,NCT01660581,NCT01694459,NCT01755520,NCT01769079,NCT01826552"
pancreatic g cell carcinoma,NCT01465659
hypertension pregnancy induced,"NCT01395342,NCT01508208,NCT01538875,NCT01736826"
mouth neoplasms,"NCT01216020,NCT01649349"
adequate bowel preparation in hospitalzed patients,NCT01563744
cellulitis,"NCT00984022,NCT01085929,NCT01339091,NCT01429428,NCT01431339,NCT01519492,NCT01549613,NCT01671423"
post herpetic neuralgia,NCT01748877
cerebellar ataxia,"NCT01104649,NCT01649687"
puerperal endometritis,NCT01633294
behavioral disorders,NCT01339195
stage iii adult lymphoblastic lymphoma,"NCT01805037,NCT00096161,NCT01273766,NCT00003970"
other surgical procedures,NCT01491165
arsenical cancers,NCT01442727
rsv bronchiolitis,NCT01486758
postpartum psychosis,NCT01172106
detrusor function overactive,NCT01796548
supraspinatus tear,NCT01414764
unspecified complication of corneal transplant,NCT01582880
treatment resistant essential hypertension,NCT01631370
eisenmengers syndrome,NCT01319045
hemolytic anemia,NCT00110617
griscelli syndrome,NCT01652092
somatostatin receptor expressing neoplasms,NCT01237457
stage iii squamous cell carcinoma of the oropharynx,"NCT01824823,NCT00033449,NCT00049166,NCT00063895,NCT00101348,NCT01192815,NCT01334177,NCT01674374,NCT01682031,NCT01696955,NCT01748942,NCT01810913"
iga nephropathy,"NCT01103778,NCT01129557,NCT01237028,NCT01392833"
skin tightening of the mandibular and sub mandibular areas,NCT01813747
pancreatic fistula,"NCT01301222,NCT01400100,NCT01550406"
carotid aortic renal or peripheral artery disease,NCT01260636
non alcoholic fatty liver,NCT01787591
hyperandrogenemia,NCT01421797
hepatic enzymes,NCT01157936
aspirin exacerbated respiratory disease,NCT01540032
acute lymphocytic leukemia all,NCT01768845
primary immune deficiency disorders,NCT01289847
alopecia areata,"NCT01453686,NCT01520077,NCT01559584,NCT01673789,NCT01736007,NCT01797432"
hyponatremia,"NCT00435591,NCT00478192,NCT00550459,NCT00843986,NCT01212211,NCT01301274,NCT02432157"
exacerbation of protein losing enteropathy,NCT01161641
scalp psoriasis,NCT00881868
threatened abortion,NCT01501890
chronic bronchitisbronchiectasis,NCT01718067
salmonella infections,NCT01608815
acute myeloid leukemia with multilineage dysplasia following myelodysplastic syndrome,"NCT00027872,NCT01652014,NCT01727102"
hypoxic ischemic encephalopathy,"NCT01138176,NCT01471015,NCT01649648,NCT01747863,NCT01765218"
cross infection,"NCT01245829,NCT01640925,NCT00195351"
treatment failure,NCT01189695
lymphoma t cell,NCT00082017
relapsed breast cancer,NCT00479856
stroke ischemic,NCT01716481
colon cancer screening,NCT01648504
catheter infections,NCT01411891
healthy person,NCT01745835
bronchiolitis obliterans,"NCT01212406,NCT01327625,NCT01334892,NCT01429844,NCT01432080,NCT01439958,NCT01650545"
the local renin angiotensin system ras in small intestinal mucosa in man,NCT01635192
choroidal neovascularization cnv,NCT00327470
secondary hypertension,NCT01742702
patient with hepatic metastasis,NCT01121601
charcot neuroarthropathy,NCT01770639
myofascial temporomandibular disorders,NCT01333150
out of hours medical care,NCT01388374
functional decline and complications of frail older patients admitted to hospital,NCT01273116
ohss,NCT01709942
skin necrosis,NCT01378845
single ventricle fontan,NCT01149603
hepatitis c virus recurrence,NCT01518933
ovarian diseases,NCT01832116
chronic total occlusions,NCT01271335
hiv medication adherence,NCT01122186
fatigue in multiple sclerosis,NCT01490840
peripheral nerve injury,"NCT01116362,NCT01302275,NCT01554722,NCT01596491"
meniscus lesion,NCT01254825
diabetic peripheral neuropathy,"NCT01469559,NCT01533428"
methadone,"NCT01141920,NCT00218634"
peer assessment rating,NCT01782521
bradycardia,"NCT00294645,NCT01075581,NCT01537718,NCT01629186,NCT01781078"
infant,"NCT01090726,NCT01147601,NCT01162798,NCT01240265"
b7191923a45d6f13d5110c6b6a1578c5,NCT01597570
subacromial impingement,NCT01510639
low birth weight infant,NCT01103219
lung cancer in normal and malignant tumors,NCT01611584
cervical spine degenerative disc disease,NCT01519115
precursor t cell lymphoblastic leukemia,NCT01483690
patients undergoing thoracic surgery,NCT01764932
neurodevelopment,NCT01609894
drug resistance microbial,NCT01041716
drinking,NCT01595178
malignant glioma,"NCT01167322,NCT01303835,NCT01351519,NCT01392209,NCT01400958,NCT01808820,NCT01811992"
breast cancer in women with a strong family history,NCT01612338
open haemorrhoidectomy,NCT01342991
erythropoietic protoporphyria,NCT01422915
urinary tract infection,"NCT00596635,NCT01014013,NCT01092351,NCT01359046,NCT01388413,NCT01543347,NCT01601041,NCT01681511,NCT01690767,NCT00194532"
allergic rhinitis due to house dust mites,NCT01199133
post operative vomiting,NCT01592708
contiguous stage ii adult lymphoblastic lymphoma,"NCT01805037,NCT01273766"
peripheral neuropathies,NCT01541644
hypopharyngeal cancer,"NCT01175499,NCT01516996"
stage iiia breast cancer,"NCT01806675,NCT01632332,NCT00005970,NCT00049114,NCT00063934,NCT00070252,NCT00016276,NCT01824836,NCT01355393,NCT01391689,NCT01417286,NCT01478477,NCT01487954,NCT01672684,NCT01695057,NCT01750073,NCT01776008,NCT01787409,NCT01818063"
urge urinary incontinence,"NCT00373789,NCT01166438,NCT01559389,NCT01737411"
burnout professional,"NCT01145443,NCT01146691,NCT01168661"
exercise induced asthma,NCT00127166
pco,NCT01279512
atelectasis,"NCT01416519,NCT01749436,NCT01810172"
endometritis,NCT01587495
double lumen endotracheal tube,NCT01615263
x linked severe combined immunodeficiency,"NCT01175239,NCT01410019"
complex perianal fistula,NCT01314092
stage ivb inverted papilloma of the paranasal sinus and nasal cavity,NCT01637194
radiation pneumonitis,"NCT01745484,NCT01754909"
sinusitis acute,NCT01018030
males,NCT01406730
advanced gastrointestinal malignancies,NCT01577758
extrapulmonary tuberculosis,NCT01613196
levels of amyloid,NCT01165554
acute asthma,"NCT01079000,NCT01304901,NCT01429415,NCT01695031"
alcohol abuse,"NCT00156715,NCT00247221,NCT00513708,NCT00595556,NCT00925340,NCT01087736,NCT01128140,NCT01153373,NCT01184612,NCT01197352,NCT01211353,NCT01229748,NCT01254877,NCT01262287,NCT01296646,NCT01320748,NCT01342341,NCT01349985,NCT01370226,NCT01416103,NCT01422447,NCT01632319,NCT01449981,NCT01539525,NCT01553136,NCT01678196,NCT01707030,NCT01709201,NCT01784627,NCT01784653,NCT01796158"
caesarian section,NCT01566253
autoimmune thyroiditis,NCT01129492
graft vs host disease,"NCT00025662,NCT00195273,NCT01234623,NCT01318330,NCT01327625,NCT01393132,NCT01596218,NCT01699412,NCT01700036,NCT01743131,NCT01790568"
symptomatic knee osteoarthritis,NCT01311206
adult pure erythroid leukemia m6b,"NCT01806571,NCT00006363,NCT00027872,NCT00089388,NCT00131989,NCT00098423,NCT01729845,NCT01801046"
endotracheal extubation,NCT01765530
family based behaviour program with healthy lifestyle habits,NCT01129505
blunt injury of thorax,NCT01367951
hiv 1,"NCT00524368,NCT01084343,NCT01140139,NCT01173276,NCT00098293,NCT01519128,NCT01702090"
stomach neoplasms esophageal neoplasms metastatic gastric cancer mutated pi3kca protein overexpressed her2 protein,NCT01613950
salmeterol effect against an acute alveolar fluid clearance challenge secondary to lung fluid overload in copd patients,NCT01271556
lipoma,NCT01613313
orthopedic trauma wounds,NCT01518491
ae copd,NCT01227317
blood donation,NCT01610635
pain radiating,NCT01831271
migraine according to international headache society ihs criteria ichd ii,NCT01695460
stage iva follicular thyroid cancer,NCT01811212
metastatic gastrointestinal carcinoid tumor,"NCT00075439,NCT00031681,NCT00131911"
bony sites,NCT01763970
kidney transplantation,"NCT00035555,NCT00113269,NCT00121810,NCT00183248,NCT00195273,NCT00267150,NCT00419926,NCT00425698,NCT01109914,NCT01120028,NCT01123187,NCT01134510,NCT01136395,NCT01149993,NCT01195194,NCT01225796,NCT01254214,NCT01356277,NCT01363687,NCT01380847,NCT01395719,NCT01414660,NCT01442337,NCT00106639,NCT01560572,NCT01640743,NCT01655563,NCT00078559,NCT01817699"
influence of aspirin on the pharmacokineticspharmacodynamics of clopidogrel,NCT01503658
transverse myelitis,NCT01446575
oculocutaneous albinism,"NCT00001596,NCT01663935"
chronic wounds,"NCT01442103,NCT01500746,NCT01572376"
lung resection,NCT01183871
severe mood dysregulation,"NCT01591564,NCT01714310"
childhood acute monocytic leukemia m5b,"NCT00006363,NCT01801046"
dysmyelopoietic syndromes,"NCT01286038,NCT01211691"
recurrentrefractory childhood hodgkin lymphoma,"NCT00005803,NCT00005799,NCT00014235,NCT00040846,NCT01760655"
renal dialysis,"NCT01125202,NCT01214395,NCT01643733,NCT01674153"
sbp,NCT01265173
nutrition disorders,NCT01681173
insulin pump therapy,NCT01157923
hypnotherapy,NCT01523938
adult subependymoma,NCT02020720
endotracheal intubation,"NCT01095861,NCT01490580,NCT01564082,NCT01628978,NCT01651260"
oxygen dependent copd,NCT01558817
primary insomnia,"NCT00662155,NCT01286324,NCT01489969,NCT01636791,NCT01667809,NCT01667822,NCT01719315,NCT01804036,NCT00156533"
sudden death,NCT01185756
b cell lymphoma,"NCT01109069,NCT01148108,NCT01647971"
nutritional and metabolic disease,"NCT01729949,NCT01762267"
chemo refractory melanoma,NCT01216657
extraesophageal reflux,NCT01755221
wound healing,"NCT01145820,NCT01264588,NCT01264146,NCT01454310,NCT01636362,NCT01734317,NCT01762982,NCT01770860"
malignant rectal neoplasm,NCT01493206
skin toxicity,NCT01317433
collagen disorders,NCT01462240
non ischemic congestive heart failure,NCT01502501
contiguous stage ii adult immunoblastic large cell lymphoma,"NCT01805037,NCT01273766"
depression nos,NCT01537068
other disorders of optic disc bilateral,NCT01673815
without her2 overexpression,NCT01367288
cardiovascular risk factor,"NCT02022111,NCT01560806"
male infertility,"NCT01304927,NCT01346631,NCT01407432,NCT01407484"
recurrent laryngeal cancer,NCT01806675
stage iv adult soft tissue sarcoma,"NCT00022542,NCT00098579,NCT01782313"
keratosis actinic,NCT01458587
congenital cataract,"NCT00212134,NCT01297153"
chondrosarcoma of the sacrum,NCT01346124
pagets disease of bone,"NCT00051636,NCT00103740"
clinical corelation,NCT01454037
the efficacy of inactivated ev71 vaccine kmb17 against hfmd in chinese children and infants,NCT01569581
easy of laryngoscopy manipulation,NCT01153256
vertebral fracture,"NCT01120197,NCT01200277,NCT01266200"
tracheal extubation,NCT01152515
adult anaplastic astrocytoma,"NCT02020720,NCT00006773,NCT00045110,NCT01478321"
electromechanical dissociation,NCT01379105
sciatic nerve block,NCT01568476
stage i squamous cell carcinoma of the hypopharynx,"NCT01164566,NCT01588613"
unresectable or metastatic melanoma,NCT01810016
cv risk,NCT00857766
colon rectal resection,NCT01470586
eating behavior,"NCT01515254,NCT01815203"
diabetic nephropathies,"NCT01094769,NCT01575379"
spinal and bulbar muscular atrophy,NCT00303446
stage ia non small cell lung cancer,NCT01726296
juvenile dermatomyositis,NCT00323960
metasatic or recurrent colorectal cancer,NCT01409005
desmoid tumor,NCT01265030
insular thyroid cancer,"NCT01723202,NCT01811212"
enlarged prostate with lower urinary tract symptoms luts,NCT01520441
evidence based medicine,NCT01752673
depression with prominent agitation,NCT01363310
mouth edentulous,NCT01801566
grass pollen allergy,NCT01538979
complicated skin and skin structure infections,NCT01104662
humeral fracture,NCT01524965
mucopolysaccharidosis type iii a,NCT01474343
hypertension renovascular,NCT01673373
plagiocephaly,NCT01218087
teratogenesis,NCT01624155
nasal polyps,"NCT00378378,NCT00440219,NCT01827423"
neurocognitive disturbance,NCT01348282
patient falls,"NCT00675935,NCT01690611"
fuchs corneal endothelial dystrophy,NCT01357122
uncontrolled hypertension,"NCT01628172,NCT01628198,NCT01635998"
maternal depression,NCT01326182
uterus hemorrhage preclimacteric or premenopausal,NCT01365676
oppositional defiant disorder,"NCT00406354,NCT00819429,NCT01362946,NCT01085305,NCT01406067,NCT01473511"
leptomeningeal metastases of breast cancer,NCT01645839
trabeculectomy,NCT01228799
severe sepsis,"NCT00386425,NCT01223690,NCT01280942,NCT01284452,NCT01329887,NCT01397474,NCT01449721,NCT01568853,NCT01590303,NCT01598831,NCT01626612,NCT01654003,NCT01724463,NCT01790620"
attention deficit hyperactivity disorder,"NCT00190684,NCT00191906,NCT00302380,NCT00337285,NCT00406354,NCT00447278,NCT00482313,NCT00500071,NCT00500149,NCT00501293,NCT00510276,NCT00546910,NCT00564954,NCT00586157,NCT00585910,NCT00636818,NCT00687609,NCT00714688,NCT00735371,NCT00764868,NCT00799409,NCT00799487,NCT00819429,NCT01010750,NCT01073176,NCT01096953,NCT01098058,NCT01106430,NCT01133028,NCT01133418,NCT01176136,NCT01177306,NCT01238822,NCT01239030,NCT01269463,NCT01275378,NCT01320098,NCT00434213,NCT01369459,NCT01339286,NCT01352468,NCT01393574,NCT01415440,NCT01431235,NCT01439126,NCT01462032,NCT01472991,NCT01477125,NCT01487967,NCT01557595,NCT01624649,NCT01657721,NCT01678209,NCT01709695,NCT01711372,NCT01764672,NCT01769300,NCT01796262,NCT01808066,NCT01816074,NCT00190775,NCT00191386"
